STATE,STNAME,CTYNAME,fips,state,Year,Population,Year_datetime
AR,Arkansas,Pulaski County,5119.0,AR,2002,364933,2002-01-01
AR,Arkansas,Randolph County,5121.0,AR,2002,18122,2002-01-01
AR,Arkansas,St. Francis County,5123.0,AR,2002,28544,2002-01-01
AR,Arkansas,Saline County,5125.0,AR,2002,85753,2002-01-01
AR,Arkansas,Scott County,5127.0,AR,2002,10947,2002-01-01
AR,Arkansas,Searcy County,5129.0,AR,2002,8109,2002-01-01
AR,Arkansas,Sebastian County,5131.0,AR,2002,116828,2002-01-01
AR,Arkansas,Sevier County,5133.0,AR,2002,15721,2002-01-01
AR,Arkansas,Sharp County,5135.0,AR,2002,17351,2002-01-01
AR,Arkansas,Stone County,5137.0,AR,2002,11529,2002-01-01
AR,Arkansas,Union County,5139.0,AR,2002,45021,2002-01-01
AR,Arkansas,Van Buren County,5141.0,AR,2002,16111,2002-01-01
AR,Arkansas,Washington County,5143.0,AR,2002,166983,2002-01-01
AR,Arkansas,White County,5145.0,AR,2002,68878,2002-01-01
AR,Arkansas,Woodruff County,5147.0,AR,2002,8451,2002-01-01
AR,Arkansas,Yell County,5149.0,AR,2002,21230,2002-01-01
CA,California,Alameda County,6001.0,CA,2002,1460576,2002-01-01
CA,California,Alpine County,6003.0,CA,2002,1195,2002-01-01
CA,California,Amador County,6005.0,CA,2002,36506,2002-01-01
CA,California,Butte County,6007.0,CA,2002,209319,2002-01-01
CA,California,Calaveras County,6009.0,CA,2002,42583,2002-01-01
CA,California,Colusa County,6011.0,CA,2002,19264,2002-01-01
CA,California,Contra Costa County,6013.0,CA,2002,980446,2002-01-01
CA,California,Del Norte County,6015.0,CA,2002,27485,2002-01-01
CA,California,El Dorado County,6017.0,CA,2002,164675,2002-01-01
CA,California,Fresno County,6019.0,CA,2002,828245,2002-01-01
CA,California,Glenn County,6021.0,CA,2002,26705,2002-01-01
CA,California,Humboldt County,6023.0,CA,2002,127779,2002-01-01
CA,California,Imperial County,6025.0,CA,2002,144579,2002-01-01
CA,California,Inyo County,6027.0,CA,2002,18079,2002-01-01
CA,California,Kern County,6029.0,CA,2002,689204,2002-01-01
CA,California,Kings County,6031.0,CA,2002,134681,2002-01-01
CA,California,Lake County,6033.0,CA,2002,61674,2002-01-01
CA,California,Lassen County,6035.0,CA,2002,33300,2002-01-01
CA,California,Los Angeles County,6037.0,CA,2002,9717871,2002-01-01
CA,California,Madera County,6039.0,CA,2002,127841,2002-01-01
CA,California,Marin County,6041.0,CA,2002,246332,2002-01-01
CA,California,Mariposa County,6043.0,CA,2002,17202,2002-01-01
CA,California,Mendocino County,6045.0,CA,2002,86911,2002-01-01
CA,California,Merced County,6047.0,CA,2002,223666,2002-01-01
CA,California,Modoc County,6049.0,CA,2002,9240,2002-01-01
CA,California,Mono County,6051.0,CA,2002,13191,2002-01-01
CA,California,Monterey County,6053.0,CA,2002,409210,2002-01-01
CA,California,Napa County,6055.0,CA,2002,128584,2002-01-01
CA,California,Nevada County,6057.0,CA,2002,94412,2002-01-01
CA,California,Orange County,6059.0,CA,2002,2917106,2002-01-01
CA,California,Placer County,6061.0,CA,2002,277833,2002-01-01
CA,California,Plumas County,6063.0,CA,2002,20861,2002-01-01
CA,California,Riverside County,6065.0,CA,2002,1682749,2002-01-01
